phase_segment_id,phase_label,start_window_id,end_window_id,window_count,start_time,end_time,duration_minutes,mean_speed,mean_load,mean_pressure,mean_temperature,mean_core_outlier_fraction
50,ramp_up,4086,4092,7,2026-03-02 06:06:14+00:00,2026-03-02 06:50:16+00:00,44.03333333333333,47.74380957409524,31.056190741733335,188.7838090504762,175.77497838614718,0.40952380952380957
51,stable_run,4093,4093,1,2026-03-02 06:41:16+00:00,2026-03-02 06:55:16+00:00,14.0,116.1999994,75.94666697333332,380.51333213333334,174.37696986060607,0.26666666666666666
52,transition,4094,4095,2,2026-03-02 06:46:16+00:00,2026-03-02 07:04:17+00:00,18.016666666666666,113.0433331,73.95666683333333,380.1700002,174.3190914181818,0.03333333333333333
53,stable_run,4096,4107,12,2026-03-02 06:56:16+00:00,2026-03-02 08:04:19+00:00,68.05,110.51944482222221,72.18666636388889,378.8883346333334,174.3426768131313,0.03333333333333333
54,ramp_down,4108,4111,4,2026-03-02 07:55:19+00:00,2026-03-02 08:23:20+00:00,28.016666666666666,47.64999978983334,31.184999976000004,207.54999883566666,174.1633333151515,0.65
55,transition,4112,4112,1,2026-03-02 08:15:19+00:00,2026-03-02 08:28:20+00:00,13.016666666666667,2.0866666806666667,1.3466666866666666,20.713332876,166.8975762939394,0.13333333333333333
56,off,4113,4120,8,2026-03-02 08:20:19+00:00,2026-03-02 09:07:21+00:00,47.03333333333333,0.027500000275,0.0,9.021666649833334,148.2226516746212,0.09166666666666667
57,ramp_up,4121,4122,2,2026-03-02 08:58:21+00:00,2026-03-02 09:17:22+00:00,19.016666666666666,8.766666690966666,6.043333214333333,18.173333196,136.11969674787878,0.8666666666666667
58,transition,4123,4127,5,2026-03-02 09:08:21+00:00,2026-03-02 09:42:23+00:00,34.03333333333333,6.289333323093333,4.0613333056,10.555999989866665,130.1250914358788,0.5733333333333334
59,off,4128,4436,309,2026-03-02 09:33:22+00:00,2026-03-03 11:05:21+00:00,1531.9833333333333,0.02914778889536139,0.00265372167206041,2.3268608525329015,47.92782584409336,0.04293419633225458
60,transition,4437,4438,2,2026-03-03 10:56:20+00:00,2026-03-03 11:15:21+00:00,19.016666666666666,3.969999984533333,2.293333308,4.746666678333333,173.348788169697,0.19999999999999998
61,ramp_up,4439,4443,5,2026-03-03 11:06:21+00:00,2026-03-03 11:40:22+00:00,34.016666666666666,73.91333320613333,48.314666330133335,260.6880021133333,173.87527295272724,0.7333333333333333
62,stable_run,4444,4444,1,2026-03-03 11:31:22+00:00,2026-03-03 11:45:22+00:00,14.0,124.01333306666666,81.57333322666666,379.7066710666667,174.31636325454545,0.2
63,transition,4445,4446,2,2026-03-03 11:36:22+00:00,2026-03-03 11:54:23+00:00,18.016666666666666,118.91333310000002,77.97000045333334,378.29000140000005,174.41909046363634,0.0
64,stable_run,4447,5484,1038,2026-03-03 11:46:22+00:00,2026-03-07 01:05:36+00:00,5119.233333333334,108.124784796596,70.68554269021837,374.1074441197174,174.35363113440184,0.037893384714193956
65,ramp_down,5485,5488,4,2026-03-07 00:56:36+00:00,2026-03-07 01:25:37+00:00,29.016666666666666,54.80333364050001,35.939999747,243.7999986466667,172.10166688636366,0.65
66,transition,5489,5489,1,2026-03-07 01:16:37+00:00,2026-03-07 01:30:37+00:00,14.0,4.259999974666667,2.78666668,37.32666666666667,156.94787907151516,0.26666666666666666
67,off,5490,5493,4,2026-03-07 01:21:37+00:00,2026-03-07 01:50:38+00:00,29.016666666666666,0.1616666635,0.1133333365,5.484999985833333,147.6771209881818,0.0
68,transition,5494,5499,6,2026-03-07 01:41:37+00:00,2026-03-07 02:20:39+00:00,39.03333333333333,4.356666645,2.676666657333333,13.477777916444447,138.55515137757578,0.39999999999999997
69,off,5500,6167,668,2026-03-07 02:11:39+00:00,2026-03-09 09:09:43+00:00,3298.0666666666666,0.03794411215588823,0.0,2.366517014058882,34.92720650611776,0.006487025948103793
