TrendDate,speed,load,pressure,temp1,temp2,temp3,temp4
2026-04-28 10:54:00+00,92.90000153,60.5,248.6000061,175.1999969,174.8999939,175.1000061,174.6999969
2026-04-28 10:55:00+00,90.69999695,60.40000153,248.1000061,175,174.8000031,175,174.8999939
2026-04-28 10:56:00+00,93.80000305,61.79999924,246.6000061,174.8999939,174.8999939,174.8999939,175.1999969
2026-04-28 10:57:00+00,92.30000305,60.5,246.3999939,175,174.8999939,174.8999939,175.1000061
2026-04-28 10:58:00+00,90.69999695,61,247.1000061,175.1999969,174.8999939,174.8999939,175
2026-04-28 10:59:00+00,92.59999847,61.5,248.1000061,175.1999969,174.8999939,175,174.8999939
2026-04-28 11:00:00+00,93.5,60.79999924,248.8000031,174.8999939,174.8999939,175,175.1000061
2026-04-28 11:01:00+00,94.09999847,61.90000153,248.1000061,174.6999969,175,175,175
2026-04-28 11:02:00+00,90.69999695,61.20000076,247,174.6999969,175,175,175.1000061
2026-04-28 11:04:00+00,94.59999847,61.40000153,247.8999939,174.6999969,174.8000031,175,174.8999939
2026-04-28 11:06:00+00,90.30000305,60.59999847,250.3999939,174.8999939,175,175,174.8999939
2026-04-28 11:08:00+00,90.40000153,60.20000076,249.8000031,175.1000061,175.1000061,174.8999939,174.8999939
2026-04-28 11:09:00+00,94.30000305,60.29999924,248,175.1000061,175.1000061,175,175
2026-04-28 11:10:00+00,93,62.20000076,248,175,175,175,174.8999939
2026-04-28 11:11:00+00,93.5,60.40000153,249.5,175.1999969,175,175,175
2026-04-28 11:12:00+00,96.09999847,61.79999924,251,175.1000061,175,175,175
2026-04-28 11:13:00+00,93.30000305,61.09999847,252.1999969,175.1000061,175,175,175
2026-04-28 11:14:00+00,93.09999847,61.09999847,251.6000061,175.1999969,175.1999969,175,175.1999969
2026-04-28 11:15:00+00,93.09999847,61,250.3999939,175.1999969,175.3000031,175,174.8999939
2026-04-28 11:16:00+00,91.19999695,60.29999924,249.8000031,174.8000031,175.1000061,175,174.8000031
2026-04-28 11:17:00+00,93.90000153,61.40000153,250,174.8000031,175.1000061,175.1000061,175.3000031
2026-04-28 11:18:00+00,92.5,60.70000076,251.1999969,174.8000031,175.1000061,175.1000061,175
